Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",69146.47,0.0,2564.32,Fixed Deposits,Investment Strategy,Increase Savings,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",70627.87,1340.4,3393.27,Gold,Tax Planning,Tax Savings,Partially Implemented,Neutral,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",93266.89,1247.98,2705.28,Gold,Debt Management,High ROI Investments,Not Implemented,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",89002.51,4005.73,3585.03,Real Estate,Retirement Planning,Debt Reduction,Seeking Further Consultation,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",77376.23,0.0,4374.98,Gold,Investment Strategy,Tax Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",34877.64,4466.74,2823.71,Real Estate,Tax Planning,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",26772.23,0.0,4293.29,Real Estate,Debt Management,Increase Savings,Implemented,Very Satisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",17591.79,1612.26,1872.96,Mutual Funds,Retirement Planning,Retirement Fund Building,Partially Implemented,Very Satisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",35419.08,0.0,4690.05,Mutual Funds,Debt Management,High ROI Investments,Partially Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",28905.76,0.0,4159.62,Gold,Debt Management,Tax Savings,Implemented,Neutral,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",60949.54,3293.02,3874.42,Gold,Investment Strategy,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,Moderate
*,*,*,*,*,12548.78,0.0,969.44,*,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",35799.29,3236.26,3459.67,Real Estate,Tax Planning,Debt Reduction,Seeking Further Consultation,Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",21552.57,1960.89,1338.77,Cryptocurrency,Debt Management,Increase Savings,Partially Implemented,Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",86081.13,0.0,2697.13,Mutual Funds,Debt Management,Tax Savings,Partially Implemented,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",76429.68,0.0,1879.06,Mutual Funds,Tax Planning,Debt Reduction,Partially Implemented,Neutral,Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",32560.84,1680.57,2216.92,Real Estate,Investment Strategy,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",77389.82,168.94,854.54,Fixed Deposits,Savings Plan,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",35230.43,4848.67,4534.88,Stocks,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",49584.11,0.0,2186.3,Gold,Tax Planning,High ROI Investments,Implemented,Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",48385.91,1830.98,2549.65,Real Estate,Investment Strategy,Retirement Fund Building,Implemented,Satisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",22239.4,1184.2,4418.43,Stocks,Retirement Planning,Increase Savings,Not Implemented,Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",82554.42,2170.21,2198.15,Cryptocurrency,Investment Strategy,High ROI Investments,Partially Implemented,Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",26481.91,3010.03,4396.68,Mutual Funds,Debt Management,Retirement Fund Building,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",93737.22,0.0,3965.97,Mutual Funds,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",99921.61,4245.82,2130.58,Bonds,Retirement Planning,Retirement Fund Building,Not Implemented,Neutral,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",53132.68,4147.34,845.3,Cryptocurrency,Retirement Planning,Increase Savings,Seeking Further Consultation,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",90019.26,0.0,1619.02,Mutual Funds,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",49854.86,0.0,2265.3,Bonds,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",15980.71,383.9,1206.44,Mutual Funds,Debt Management,Increase Savings,Implemented,Unsatisfied,Unsatisfied,Low
